candidate_id,display_name,candidate_class,human_recurrence_status,human_recurrence_detail,function_or_clade_link_status,mechanism_integrity_status,parent_species_independence_status,parent_species_independence_detail,taxonomic_source_status,taxonomic_source_detail,conservation_status,conservation_detail,specificity_status,specificity_detail,editability_status,external_gene_confirmation_status,atlas_status,claim_boundary
colibactin,Colibactin genotoxicity,effector_benchmark,not_passed,9/10 evaluable cohorts CRC-enriched; median AUC 0.541,human_signature_plus_animal_targeted_perturbation,partial_multigene_representation,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,human_isolate_panel_pass_global_diversity_pending,2/2 published guides passed exact-site coverage and uniqueness in a frozen 7-genome pks-positive reference panel; the expanded human-isolate gate was evaluated separately. Expanded audit: 2/2 guides passed the frozen 97-human-isolate panel (sgclbB_4387: 96/97 covered and 95/97 unique-site; sgclbC_2313: 97/97 covered and 97/97 unique-site). Global pks-positive diversity and assembly-independent confirmation remain pending.,primary_guide_pilot_pass_secondary_guide_flagged,1/2 published guides passed a frozen 11-reference near-match pilot; 5 flagged sites were retained. Broader strain and platform-specific assessment remains pending.,targeted_in_vivo_crispri_preprint,not_yet_assessed,literature_priority_primary_guide_global_and_platform_validation_pending,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
fragilysin,B. fragilis toxin,effector_benchmark,not_passed,6/8 evaluable cohorts CRC-enriched; median AUC 0.508,animal_isogenic_deletion_necessity,single_effector_represented,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,No frozen sequence-conservation result is available.,not_yet_assessed,No frozen protected-reference result is available.,isogenic_deletion_only,not_yet_assessed,mechanistically_supported_delivery_pending,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
fusobacterial_adhesion,Fusobacterial adhesion,effector_benchmark,not_passed,not evaluable in the current gene-family assay,animal_genetic_mutant_support,not_represented_in_frozen_assay,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,No frozen sequence-conservation result is available.,not_yet_assessed,No frozen protected-reference result is available.,isogenic_mutants_only,not_yet_assessed,mechanistically_supported_delivery_pending,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
secondary_bile_acids,Secondary bile-acid conversion,effector_benchmark,not_passed,7/10 evaluable cohorts CRC-enriched; median AUC 0.537,animal_pathway_mutant_support,partial_multigene_representation,not_applicable_effector_benchmark,Not applicable: the known-effect benchmark is defined by a prespecified mechanism rather than a discovered address family.,not_applicable_effector_benchmark,Not applicable to this benchmark-level association result.,not_yet_assessed,No frozen sequence-conservation result is available.,not_yet_assessed,No frozen protected-reference result is available.,isogenic_pathway_mutant_only,not_yet_assessed,mechanistically_supported_delivery_pending,A literature-motivated mechanism; human association does not by itself establish a safe editing target.
UniRef90_A0A069DBF6,Protein FixA,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.567,not_yet_established,not_applicable_address_candidate,not_evaluable,not evaluable because no exact parent-species match was frozen,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,platform_dependent_not_yet_assessed,not_yet_assessed,unresolved_no_exact_parent_mapping,A recurring gene-family association and possible genomic address; not a causal gene or guide sequence.
UniRef90_A0A081TLD1,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.595,not_assessed_parent_gate_failed,not_applicable_address_candidate,not_passed,did not pass: median held-out AUC gain 0.000; positive in 50% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A0E2AL27,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.635,not_assessed_parent_gate_failed,not_applicable_address_candidate,not_passed,did not pass: median held-out AUC gain 0.013; positive in 70% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A192CAU6,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 10 outer folds; 80% held-out direction consistency; median held-out AUC 0.608,not_assessed_parent_gate_failed,not_applicable_address_candidate,not_passed,did not pass: median held-out AUC gain 0.002; positive in 60% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A1E3U585,Uncharacterized protein,precision_address_candidate,internal_cross_fitted_pass,selected in 7 outer folds; 86% held-out direction consistency; median held-out AUC 0.551,not_assessed_parent_gate_failed,not_applicable_address_candidate,not_passed,did not pass: median held-out AUC gain 0.009; positive in 70% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
UniRef90_A0A1E3UBQ7,DNA-binding protein,precision_address_candidate,internal_cross_fitted_pass,selected in 7 outer folds; 100% held-out direction consistency; median held-out AUC 0.558,not_assessed_parent_gate_failed,not_applicable_address_candidate,not_passed,did not pass: median held-out AUC gain 0.005; positive in 60% of evaluable folds,not_yet_assessed,taxon-resolved carrier evidence has not been evaluated,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,not_yet_assessed,Not run because the candidate did not pass every preceding sequential address gate.,platform_dependent_not_yet_assessed,not_yet_assessed,rejected_no_parent_independent_signal,The family recurs across cohorts but does not add enough held-out information beyond its annotated parent-species proxy.
